,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
8104,La Wera Cocina Mex,,€15 - €30,4.0,,Calle Villarroel 100,"La Villarroel, Carrer de Villarroel, 87, 08011 Barcelona, Spain",41.3845152,2.1573507
8105,Churruca 5,,"Mediterranean, European, Spanish",4.0,,"C/ Almirall Churruca, 5","Catalonia, Spain",41.66667,2.0
8106,Las Fadas Bar Rhums & Mojitos,,€5 - €20,4.5,,275 Consell de Cent,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
8107,Colmado Barcelona,,€9 - €25,4.0,,Calle Provenca 236,"Carrer Provença, 08770 Sant Sadurní d'Anoia, Spain",41.4244026,1.7845184
8108,Books And Co,,Cafe,4.0,,Carrer Del Cardenal Casanas 4,"Hostal Paris, Carrer del Cardenal Casañas, 4, 08002 Barcelona, Spain",41.3814673,2.17346
8109,Fishgon Fish & Chips,,"Seafood, Spanish, Fusion",4.0,,Passeig Sant Joan 66,"passeig del Riu, 08250 Sant Joan de Vilatorrada, Spain",41.7399116,1.8066353
8110,El Mirador del Carmelo II,,"Spanish, Mediterranean",4.5,,"C/ Pasteur, 2","Carrer de Pasteur, 08032 Barcelona, Spain",41.4178032,2.1601235
8112,Bibimbap,,€5 - €15,4.5,,Carrer de Balmes 331,"Carrer de Balmes, 331, 08006 Barcelona, Spain",41.4031134,2.1435565
8113,La Tapa del Triomf,,Spanish,4.0,,"Passeig Lluis Companys, 8","Passeig Lluís Companys, 08420 Canovelles, Spain",41.6169275,2.2776875
8114,Abou Khalil,,€10 - €30,4.0,,"Santalo, 88","Abou-khalil restaurant, Carrer de Santaló, 88, 08021 Barcelona, Spain",41.3977157,2.1433229
8115,Vermuteria Trencalos,,"Seating, Table Service",4.0,,"Carrer de Melcior de Palau, 111","Carrer de Melcior de Palau, 08014 Barcelona, Spain",41.3783252,2.1308329
8116,La Viena Blanca,,"Spanish, Catalan, Mediterranean, European",3.5,,"Carrer del Pintor Fortuny, 10","Carrer del Pintor Fortuny, 10, 08812 Sant Pere de Ribes, Spain",41.2259218,1.7466108
8117,Rovi Tapas Bar & Restaurant,,€12 - €20,4.0,,C/ Lepanto 293,"Lepanto, Carrer de Lepant, 08191 Rubí, Spain",41.5009649,2.0357685
8118,Frescco - Cucumis S.L,,"European, Spanish",4.0,,"Carrer Del Carme, 16","Carrer del Carme, 08001 Barcelona, Spain",41.382392,2.1705246
8119,Gerbard,,€15 - €25,4.5,,"Ivorra, 24","Ivorra SA, avinguda d'Alfons XIII, 08918 Badalona, Spain",41.4380304,2.2253332
8120,CATALAN,,"Spanish, European",4.5,,Rue Balmes,"Gran Hotel Catalonia, Carrer de Balmes, 080007 Barcelona, Spain",41.3938035,2.1567229
8121,Quatre Coses,,"Bar, Spanish, Pub",4.0,,Consell De Cent 329,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
8122,Restaurante A320 By Vueling,,Dinner,4.5,,"Gran Via de las Corts Catalanes, 550","Catalonia, Spain",41.66667,2.0
8123,Timesburg Fabra i Puig,,€9 - €18,4.0,,"Passeig de Fabra i Puig, 233","Passeig de Fabra i Puig, 08031 Barcelona, Spain",41.4303053,2.1755374
8124,La Bodegueta del Poble Sec,,"Spanish, Mediterranean",3.5,,"Carrer de Blai, 47","Carrer de Blai, 08001 Barcelona, Spain",41.3729517,2.1664379
8125,UDON Born,,€15 - €23,3.5,,"Princesa, 23","Carrer de la Princesa, 08003 Barcelona, Spain",41.386603,2.1820736
8126,Panorama Bar,,€4 - €14,4.5,,Passeig Sant Joan 84,"passeig del Riu, 08250 Sant Joan de Vilatorrada, Spain",41.7399116,1.8066353
8127,Tapes Jardi,,€10 - €30,4.5,,"Calle Marina, 59","carrer marina, 08339 Vilassar de Dalt, Spain",41.5113131,2.3574845
8128,La flor de Canela,,"Peruvian, South American",4.0,,Carrer de Watt 8,"Carrer de Watt, 8, 08224 Terrassa, Spain",41.5572935,2.0068457
8129,L'illa de Rossello,,€15 - €45,4.0,,Rossello 191,"Evenia Rosselló, Carrer del Rosselló, 191, 08036 Barcelona, Spain",41.3921435,2.1554083
8130,Meson Pahi,,€11 - €37,4.0,,Torroella de Montgri,"Catalonia, Spain",41.66667,2.0
8131,Habitual cafe,,€13 - €14,4.0,,"Madrazo, 54","Carrer dels Madrazo, 08006 Barcelona, Spain",41.4012893,2.1503926
8132,Isabella's,,€20 - €30,4.0,,Ganduxer 50,"Isabella's, Carrer de Ganduxer, 50, 08021 Barcelona, Spain",41.3959982,2.1368917
8133,Restaurante Mexicano Chilam Balam,,€10 - €30,3.5,,"C/ Industria, 156","Carrer de la Indústria, 156, 08037 Barcelona, Spain",41.408777,2.1734563
8134,La Tanqueta Coffee Shop,,"Healthy, Venezuelan, Spanish, South American",5.0,,Calle Josep Tarradellas 111,"Carrer Josep Tarradellas, 08760 Martorell, Spain",41.4793657,1.9151553
8135,TerraVino BCN,,"Wine Bar, Spanish",4.5,,"Carrer de Santa Caterina, 6,","Carrer de Santa Caterina, 08014 Barcelona, Spain",41.3788936,2.1365098
8136,Obrador Delacrem,,Mediterranean,5.0,,"Passeig de Sant Joan, 59","Passeig de Sant Joan, 59, 08009 Barcelona, Spain",41.396831,2.1725364
8137,Bar Azul Barcelona,,Spanish,4.0,,"Carrer de Corsega, 691","Carrer de Còrsega, 691, 08037 Barcelona, Spain",41.4122262,2.1799258
8138,Kiwi Kitchen,,€3 - €5,5.0,,"Sant Carles, 19","Sant Carles, Galeries Sant Carles, 08401 Granollers, Spain",41.6084569,2.285578
8139,Bol,,"Contemporary, Fusion, Healthy",4.5,,44 Enrique Granados,"Catalonia, Spain",41.66667,2.0
8140,Buenas Migas,,€10 - €30,4.0,,Balmes 470,"Carrer de Balmes, 08470 Sant Celoni, Spain",41.6880275,2.4888254
8141,Edelmann,,€18 - €23,3.5,,"6, Portal de l""Angel Av.","Catalonia, Spain",41.66667,2.0
8142,Al Grano Mercat,,€25 - €40,4.5,,"Carrer de Corsega, 244","Carrer de Còrsega, 244, 08036 Barcelona, Spain",41.3929848,2.1550732
8143,Ca La Iaia,,"Mediterranean, Spanish",4.5,,"Calle Providencia, 99","Carrer Providència, 08830 Sant Boi de Llobregat, Spain",41.3493983,2.029674
8144,Fundacio Joan Miro Restaurante,,Fusion,3.5,,Parc de Montjuic S/N,"Parc de Montjuïc, Avinguda de Miramar, 08004 Barcelona, Spain",41.3687898,2.1631845
8145,L'Oliva,,"Mediterranean, Spanish, European",3.5,,Gran Via de les Corts Corts Catalanes 596,"Catalonia, Spain",41.66667,2.0
8146,Marisc Co,,"Seafood, Mediterranean, Spanish",4.0,,"Carrer del Vidre, 7","Viana, Carrer del Vidre, 7, 08002 Barcelona, Spain",41.3798805,2.1761037
8147,Bistrot by Valkiria,,"Mediterranean, Spanish, Fusion",4.0,,Carrer Pujades 126,"Carrer Pujades, 08783 Masquefa, Spain",41.5043137,1.8092083
8148,La Broqueta,,€15 - €40,3.5,,"Rbla. del Poblenou, 101","Rambla del Poblenou, Barcelona, Spain",41.4070751,2.1933213
8149,Pintxos,,Spanish,4.5,,53 Carrer de Roger de Flor,"Carrer de Roger de Flor, 53-55, 08013 Barcelona, Spain",41.3928098,2.180354
8150,Dora Tapas Bar Restaurant,,,3.5,,"Calle Provenza, 275","Catalonia, Spain",41.66667,2.0
8151,The Mirror Restaurant,,"Mediterranean, European, Spanish",4.0,,"Carrer de Corsega, 255","Carrer de Còrsega, 255, 08036 Barcelona, Spain",41.3931725,2.1544282
8152,Fil Manila,,"Filipino, Asian",4.0,,C/Ramelleres 3,"Carrer de les Ramelleres, 08001 Barcelona, Spain",41.384348,2.1685638
8153,O.K. Sarria,,€21 - €29,3.5,,Jaume Piquet 18,"Carrer de Jaume Piquet, 08034 Barcelona, Spain",41.3978266,2.1238136
8154,Bar Breton,,"Spanish, Bar, Pub",4.5,,"Calle de Breton de los Herreros, 4","Bar Bréton, Carrer de Bretón de los Herreros, 4, 08012 Barcelona, Spain",41.4025769,2.1521443
8155,A Vocados,,"Mediterranean, Spanish, Pizza, European, Contemporary, Healthy",4.5,,Calle Tuset 17,"Carrer de Tuset, 08006 Barcelona, Spain",41.3956711,2.1523527
8156,365. Cafe,,"Spanish, Catalan, Cafe",4.0,,"Ronda Sant Antoni, 31","Ronda Sant Antoni, Ronda de Sant Antoni, 080007 Barcelona, Spain",41.3847746,2.1638203
8157,Tablafina - NH Collection Calderon,,€15 - €35,4.0,,"Rambla De Catalunya, 26","Rambla de Catalunya, Barcelona, Spain",41.3898906,2.1650954
8158,Comaxurros,,Cafe,4.0,,Calle Muntaner 562,"Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
8159,T3 Bar Restaurant,,"Spanish, Mediterranean",4.5,,Passatge Posoltega 17,"Passatge de Posoltega, Barcelona, Spain",41.4381532,2.1965646
8160,La Chirusa,,"American, Mediterranean, Spanish, Argentinean, South American",4.0,,Viladomat 23,"Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
8161,The Quick Greek Poblenou,,"Greek, Brew Pub, Fast Food, Mediterranean",4.5,,"Rambla Poblenou, 11-13","Rambla Poblenou, Rambla del Poblenou, 08018 Barcelona, Spain",41.4046882,2.1967694
8162,Platja Ca La Nuri,,€30 - €50,3.5,,"Passeig Maritim de la Barceloneta, 55","Passeig Marítim de la Barceloneta, 08 Barcelona, Spain",41.3834058,2.1948376
8163,Avocados,,Pizza,4.0,,"Carrer de Puigmarti, 11, 1","Carrer de Puigmartí, 08037 BCN Barcelona, Spain",41.4021354,2.1601555
8164,Abrelatas,,€2 - €7,4.0,,Poble Espanyol,"Poble Espanyol, carrer de la Foixarda, 08038 Barcelona, Spain",41.368544,2.148258
8165,RAF Bar,,€15 - €40,4.0,,"Carrer Muntaner, 244","Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
8166,Restaurante Catedral 1951,,"Mediterranean, Spanish",4.0,,Avenida Catedral 7,"Catedral, Carrer dels Capellans, 08002 Barcelona, Spain",41.3848099,2.1751096
8167,Lux&Burg,,€8 - €15,3.5,,"Avinguda Tibidabo, 2 - 4","Avinguda Tibidabo, 08185 Lliçà de Vall, Spain",41.5816152,2.233218
8168,Honest Food,,€5 - €15,4.5,,Jordi Girona 10,"Honest food, Carrer de Jordi Girona, 10, 08034 Barcelona, Spain",41.3872682,2.1133177
8169,La Terrassa de l'Aiguajoc,,€4 - €9,4.5,,Comte Borrell 21-33,"Carrer del Comte Borrell, 21, 08001 Barcelona, Spain",41.3760752,2.1640541
8170,Restaurante El Pescadito,,€15 - €30,3.5,,"Carrer Mandri, 54","Carrer de Mandri, 08022 Barcelona, Spain",41.4015926,2.135606
8171,Daniel Cafe,,"Mediterranean, Spanish",4.0,,Diagonal 177,"Diagonal, Passeig de Gràcia, 08008 Barcelona, Spain",41.3955498,2.1604573
8172,Liuyishou Hotpot,,"Chinese, Asian",4.0,,"Carrer del Consell de Cent, 303","Chongging Liuyishou Hotpot, Carrer del Consell de Cent, 303, 080009 Barcelona, Spain",41.3888538,2.1625157
8173,Taberna los olivares,,"Spanish, Mediterranean",4.0,,"Les corts, 7","les Corts, Barcelona, Catalonia, Spain",41.385244,2.1328626
8174,Chiringuito Las Sardinitas,,,3.5,,"Avinguda del Litoral, 36","Avinguda del Litoral, 08071 Barcelona, Spain",41.3862392,2.1947384
8175,Kiosco Moderno,,"Mediterranean, Spanish, Seafood",4.5,,"La Boqueria - Stalls 364,365","Catalonia, Spain",41.66667,2.0
8176,Restaurante O Ferrado,,€13 - €39,4.0,,"Numancia, 75","Numància, Avinguda Diagonal (lateral mar), 08028 Barcelona, Spain",41.3893363,2.1319742
8177,Restaurante Navia,,,3.5,,"Carrer del Comerc, 33","Pension Ciudadela, Carrer del Comerç, 33, CP 08003 Barcelona, Spain",41.3847987,2.1847029
8178,Restaurante Rabasseda,,"Mediterranean, Spanish",4.5,,"Mercadal, 1","el Mercadal, l'Espunyola, Catalonia, Spain",42.0612636,1.7086573
8179,Restaurante Manolo,,"Mediterranean, Spanish",4.0,,"Torrent de Les Flors, 101","Catalonia, Spain",41.66667,2.0
8180,Yoshino,,"Chinese, Japanese, Sushi, Asian",3.5,,"Mallorca, 90","Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
8181,Belen,,,4.0,,"Carrer de la Jonquera, 4","Carrer de la Jonquera, 4, 08005 Barcelona, Spain",41.4001714,2.2069717
8182,Tasmango Dessert,,€4 - €12,4.5,,C/Ronda sant pere 64,"Ronda Sant Pere, Plaça de Catalunya, 08010 Barcelona, Spain",41.3877901,2.1705608
8183,La Catedra,,€5 - €25,3.5,,"Gran Via de les Corts Catalanes, 578","Gran Via de les Corts Catalanes, 08018 Barcelona, Spain",41.4101378,2.1957677
8184,Mirando Al Mar,,"Seafood, Mediterranean, Spanish",4.0,,"Moll d'Espanya, 5","Moll d'Espanya, Gothic Quarter, Barcelona, Catalonia, Spain",41.3790967,2.1834962
8185,Pintxos i Tapes Portal Nou,,Spanish,4.5,,Carrer Portal Nou 18,"Catalonia, Spain",41.66667,2.0
8186,Tablao Cordobes,,"Mediterranean, Spanish",3.5,,35 La Rambla,"Centro Galego, La Rambla, 35, 08001 Barcelona, Spain",41.3791435,2.1747253
8187,Fast Kibuka,,€15 - €25,4.0,,"Street Torrent de l'Olla, 23","Torrent de l'Olla, Carrer del Torrent de l'Olla, 221, 08012 Barcelona, Spain",41.4066828,2.1518689
8188,Melrose Dumpling House,,"Japanese, Asian",4.0,,Calabria 204 Bis,"Carrer de Calàbria, 204, 08015 Barcelona, Spain",41.3845824,2.1488873
8189,Tequila Cantina Mexicana,,€8 - €25,4.0,,"Carrer de Bilbao, 13","Carrer de Bilbao, 13-15, 08005 Barcelona, Spain",41.4008023,2.2061091
8190,Meating,,€15 - €30,4.0,,"c/ Amigo, 68","Amigó, Carrer de Tamarit, 08011 Barcelona, Spain",41.3794054,2.1617499
8191,Demeritas,,"Cafe, Mediterranean",4.0,,"C/ Girona, 133","Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
8192,Bartreze,,"Mediterranean, Bar, European, Spanish, Pub",3.5,,"Major de Sarria, 115","Carrer Major de Can Caralleu, 08017 Barcelona, Spain",41.4020258,2.1116018
8193,Can Cirili,,"Mediterranean, Spanish",3.5,,Av. Can Vilardebo 1,"Avinguda de Can Vilardebo, 08186 Lliçà de Vall, Spain",41.6003277,2.2283387
8194,Fukuoka Sushi & Grill,,€15 - €20,5.0,,"Carrer de Mila i Fontanals, 60","Carrer de Mila i Fontanals, 60, 08922 Santa Coloma de Gramenet, Spain",41.4495903,2.2154344
