,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
8027,Aylo apats i degustacio,,€8 - €20,4.5,,Calle Cigne 6,"Carrer del Cigne, 08012 Barcelona, Spain",41.4008233,2.1543175
8028,Blai Stop,,"Mediterranean, Spanish, Bar, Pub",4.0,,"Calle Blai, 06","Blai, Carrer de Blai, 08015 Barcelona, Spain",41.3742769,2.1630491
8029,A' Kaskarla Mercat de la Boqueria,,Seafood,4.0,,Locals 11 - 15,"Petits Locals, Carrer de la Masia Nova, 6, 08800 Vilanova i la Geltrú, Spain",41.2321836,1.7407895
8030,Masqmenos - Consell de Cent,,"Spanish, Mediterranean, European",3.5,,"Consell De Cent, 329","Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
8031,Baroz Arroceria con Vistas,,€30 - €40,4.0,,Av de le Drassanes 6 - 8,"Drassanes, Catalonia, Spain",41.3752,2.17658
8032,El Mesonet,,€12 - €30,4.5,,Sepulveda 11,"Carrer de Sepúlveda, 08011 Barcelona, Spain",41.3830534,2.1623085
8033,Pollo Azul,,"Latin, Peruvian, Spanish",4.5,,Meridiana 342,"Avinguda Meridiana, 342-349, 08027 Barcelona, Spain",41.4267472,2.1858287
8034,Restaurant Corea,,€15 - €35,4.0,,Ronda de Sant Pere 25,"Bed and Art, Ronda de Sant Pere, 25, 08010 Barcelona, Spain",41.3897583,2.1744395
8035,Bar Restaurant Galdric,,"European, Spanish, Mediterranean",4.0,,"Passatge Virreina, 2 Local","Passatge de la Virreina, 08211 Castellar del Vallès, Spain",41.6191379,2.0975525
8036,Pizzeria ciao gio',,€3 - €12,4.5,,Calle Alts Forns n69/71,"Catalonia, Spain",41.66667,2.0
8037,Merendero Tradicio,,Spanish,4.5,,Carrer Sant Elies 22,"Sant Elies, Catalonia, Spain",41.495558,1.6709767
8038,FRIVO Fresh Friendly Fish,,€4 - €10,5.0,,"Carrer Dels Angels, 12","Carrer dels Angels, 08187 l'Ametlla del Vallès, Spain",41.6422147,2.2447735
8039,Udon Som Multiespai,,€15 - €30,4.0,,Avinguda de Rio de Janeiro 42,"McDonald's, Avinguda de Rio de Janeiro, 42, 08016 Barcelona, Spain",41.4354928,2.1806468
8040,Kinben,,€8 - €20,4.5,,"Carrer del Consell de Cent, 323","Escola Perez Iborra, Carrer del Consell de Cent, 323, 080009 Barcelona, Spain",41.3897927,2.1633788
8041,Perluo Cafe,,,5.0,,"Carrer de Casp, 41","Carrer de Casp, 08013 Barcelona, Spain",41.3974988,2.1815631
8042,Norai Raval,,€10 - €45,4.0,,Avenida de les Drassanes s/n,"Avinguda de les Drassanes, 08001 Barcelona, Spain",41.3769511,2.1721396
8043,Restaurante De Blanc,,€12 - €30,4.5,,"Av. Roma, 22","Avinguda Roma, 08290 Cerdanyola del Vallès, Spain",41.4881878,2.1292572
8044,Il Fuoco Pizzeria,,€2 - €10,4.0,,"Carrer de Creu Coberta, 95","Carrer de la Creu Coberta, 8015 Barcelona, Spain",41.3750783,2.1482657
8045,El Nacional - La Parada,,"Mediterranean, Spanish",3.5,,"Passeig de Gracia, 24 bis","Passeig de Gràcia, 24 Bis, 08007 Barcelona, Spain",41.3905227,2.1682552
8046,Xerta Tapas Bar,,€20 - €50,4.0,,C/ Corsega 289,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
8047,Baladi,,€3 - €13,5.0,,Placa de la vila de Gracia 7,"Plaça de la Vila de Gràcia, Barcelona, Spain",41.4001977,2.1576125
8048,Restaurante Cabaneros,,"Spanish, Mediterranean, European",3.5,,"Vallespir, 17","Cabañeros, Carrer del Vallespir, 17, 08014 Barcelona, Spain",41.3782958,2.137713
8049,Cerveceria La Capra,,"Brew Pub, Pub",4.5,,"Sancho de Avila St, 173","Catalonia, Spain",41.66667,2.0
8050,Esto Es Mexico,,"Mexican, Latin, Spanish",3.5,,"Carrer Brava, n013. Sant Vicenc de Montalt","Sant Vicenç de Montalt, Catalonia, Spain",41.57853,2.50879
8051,Cafe Roslin,,"Spanish, Cafe, European",4.5,,"C Caballero, 67","Carrer de Fernán Caballero, 08035 Barcelona, Spain",41.423607,2.1449946
8052,Caputxes,,"Mediterranean, European, Spanish",3.5,,Carrer de Les Caputxes 4,"Carrer de les Caputxes, 4, 08003 Barcelona, Spain",41.3832992,2.1815964
8053,Stop Cafeteria,,"Mediterranean, Spanish, European",4.5,,C Diputacio,"Carrer Diputacio, 08780 el Papiol, Spain",41.4399999,2.0118282
8054,Frankfurt Jazzband,,"Brew Pub, European, Pub, Mediterranean",5.0,,Nou De La Rambla 109,"Nou de la Rambla, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750759,2.1702821
8055,L’Anima del Vi,,"Wine Bar, Deli",4.0,,"Carrer dels Vigatans, 8","Carrer dels Vigatans, CP 08003 Barcelona, Spain",41.3842468,2.1799098
8056,Casa Rufo's,,€6 - €20,4.5,,Sicilia 266,"Sicília, Rambla del Fondo, 08922 Santa Coloma de Gramenet, Spain",41.4514955,2.2174059
8057,Kodama,,"Bar, Pub, Wine Bar",5.0,,Placeta San Francesc 1,"Catalonia, Spain",41.66667,2.0
8058,GUST,,"Spanish, French",4.5,,Gran Via 633,"Gran Via, 08206 Sabadell, Spain",41.5610724,2.1013811
8059,El Bund 18,,"Chinese, Asian",4.0,,"Carrer de Lepant, 288","El bund 18, Carrer de Lepant, 286-288, 8025 Barcelona, Spain",41.4050649,2.176049
8060,El Rebost del Ripolles,,"Spanish, Mediterranean",4.5,,"Carrer Galileu, 301","Passeig de Sant Antoni, Galileu, 08014 Barcelona, Spain",41.3755137,2.135837
8061,Kilele brunch & cocktails,,€7 - €15,4.5,,Calle valencia 349 - barcelona,"Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
8062,Falafel Bowls,,€5 - €10,5.0,,Carrer de Sant Pere Mes Baix 69,"Carrer de Sant Pere Més Baix, 08003 Barcelona, Spain",41.3866886,2.1767454
8063,La Terraza del Hotel Omm,,€12 - €26,4.0,,"Carrer del Rossello, 265, Barcelona","Hotel Sir Victor, Carrer del Rosselló, 265, 08008 Barcelona, Spain",41.3961876,2.1609748
8064,Sant Antoni Glorios,,€18 - €37,3.5,,"Carrer de Manso, 42","Carrer de Manso, 08015 Barcelona, Spain",41.3759255,2.1595946
8065,Viena Diagonal Mar,,"Cafe, Fast Food, Spanish",3.5,,Pl. Diagonal mar 3,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona, Catalonia, Spain",41.4031728,2.2133814
8066,Bubbolitas - Bubble Tea Bar,,"Seating, Takeout",4.0,,"Placa des Bonsucces, 7","Catalonia, Spain",41.66667,2.0
8067,Casa Jaume 1913,,€14 - €25,4.0,,Passeig de Joan de Borbo 7,"Restaurante Siempreviva, Passeig de Joan de Borbó, 7, 72 Barcelona, Spain",41.3811092,2.1870673
8068,Sushi Taller,,€15 - €40,4.0,,Carrer de Bigai 4,"bonÀrea, Carrer de Bigai, 4, 08022 Barcelona, Spain",41.4049079,2.1327715
8069,Tantarantan,,"Italian, Mediterranean, European, Spanish",3.5,,"Calle del Capitan Arenas, 62","Catalonia, Spain",41.66667,2.0
8070,Da Antonio Restaurante Italiano,,€15 - €35,5.0,,C/ Beethoven 14,"Carrer de Beethoven, 14, 08021 Barcelona, Spain",41.3932272,2.1410859
8071,La Tarantella,,€14 - €20,4.0,,Fraternitat 37,"Parc de la Fraternitat, Can Dunyó, Lliçà d'Amunt, Catalonia, Spain",41.5940467,2.2058857
8072,Star India,,€15 - €20,4.5,,"Carrer de Fluvia, 84","Carrer de Fluviá, 08471 Vallgorguina, Spain",41.6492986,2.5002691
8073,La Vermuteria Del Tano,,Spanish,4.0,,"Carrer De Joan Blanques, 17","La Vermuteria del Tano, Carrer de Joan Blanques, 17, 08037 BCN Barcelona, Spain",41.4047337,2.1608594
8074,Mantequerias Pirenaicas,,"Spanish, Mediterranean",4.0,,"Calle Muntaner, 460","Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
8075,Tokyo Sushi,,"Japanese, Sushi, Asian",4.0,,"Comtal, 20","Comtal, Carrer del Rec Comtal, 16-18, 08003 Barcelona, Spain",41.3894574,2.179799
8076,Restaurante Quiroga,,Spanish,4.0,,"Corts Catalanes, 566","Quiroga, Gran Via de les Corts Catalanes, 566, 08011 Barcelona, Spain",41.3839847,2.1615565
8077,Dona Jacinta,,€3 - €8,4.5,,"Carrer de Pallars, 319","Carrer de Pallars, 319, 08005 Barcelona, Spain",41.4058881,2.2038695
8078,Dos Asnos - The Good Burrito,,€5 - €14,4.0,,Paralelo 99,"Catalonia, Spain",41.66667,2.0
8079,El Pati,,€7 - €12,4.0,,Carrer Tarragona 106 Interior,"Carrer Tarragona, 08303 Mataró, Spain",41.5439848,2.4245662
8080,La Tipa,,€8 - €20,4.5,,Carrer dels Escultors Claperos 41,"Carrer dels Escultors Claperós, 08026 Barcelona, Spain",41.4111745,2.1905676
8081,Tabo,,"Latin, Chilean",4.0,,"Carrer de Lleida, 15","Eduard Calàbria Marimon, Carrer de Lleida, 15, 08800 Vilanova i la Geltrú, Spain",41.2241675,1.7230422
8082,Yamada Sushi Restaurante,,"Japanese, Sushi, Asian, Diner, Healthy",4.0,,"Carrer Gran de Gracia, 57","Casa Colomina, Carrer Gran de Gràcia, 57, 08012 Barcelona, Spain",41.3996016,2.1556729
8083,TEIKIT Barcelona,,€5 - €20,4.0,,"Travessera de Gracia, 50","Restaurante Bomb, Travessera de Gràcia, 50, 08021 Barcelona, Spain",41.3956535,2.1491664
8084,Dias Denorte,,€17 - €22,4.5,,"Ronda de Sant Pau, 5","Ronda de Sant Pau, 08001 Barcelona, Spain",41.3749809,2.1678835
8085,Escoces,,"Mediterranean, Spanish",4.0,,"Mandri, 23","Carrer de Mandri, 08022 Barcelona, Spain",41.4020588,2.1351318
8086,La Sucursal,,€6 - €15,4.0,,"Carrer de Floridablanca, 115","La Sucursal, Carrer de Floridablanca, 115, 08011 Barcelona, Spain",41.3806502,2.1611889
8087,L'Espai Ferrer i Guardia,,€10 - €20,4.5,,"Carrer d'Avinyo, 44","Carrer d'Avinyó, 44, 08002 Barcelona, Spain",41.3804681,2.1784626
8088,La Contrasenya,,€25 - €30,4.5,,Calle Joan d'Austria,"Carrer Joan d'Àustria, 08800 Vilanova i la Geltrú, Spain",41.2152271,1.7209403
8089,Di Vini Sapori,,€20 - €30,4.5,,Buenos Aires 28,"Buenos Aires, Avinguda Diagonal (lateral muntanya), 08088 Barcelona, Spain",41.4007779,2.1753037
8090,Samurai Ramen,,"Japanese, Asian",4.0,,"Carrer de Lleida, 11","Carrer de Lleida, 11, 08800 Vilanova i la Geltrú, Spain",41.2242864,1.7229717
8091,Pizzeria Ristorante Arrabbiata,,"Italian, Pizza",4.0,,Copernic 75,"Plaça de Copèrnic, Can Rull, Sabadell, Catalonia, Spain",41.5538837,2.0897628
8092,Lindt Plaza Cataluna,,Fast Food,4.5,,"Placa de Catalunya, 14","Plaça de Catalunya, les Franqueses del Vallès, Catalonia, Spain",41.6165195,2.2974739
8093,Lizarran,,€5 - €20,3.5,,Can Bruixa 6,"Can Bruixa, Carrer de Joan Güell, 168, 08028 Barcelona, Spain",41.3836595,2.1312922
8094,Chouchou,,"French, Fast Food, Deli",5.0,,"Carrer dels Codols, 16","Carrer dels Còdols, 16, 08002 Barcelona, Spain",41.3795511,2.1782722
8095,Al Maghribia,,"Fast Food, Turkish",4.5,,Calle Aragon 605,"Catalonia, Spain",41.66667,2.0
8096,Passione Napoletana,,"Italian, Neapolitan, Campania, Southern-Italian",4.5,,"Carrer de Villarroel, 247","Pizzeria La Mamma, Carrer de Villarroel, 247, 08036 Barcelona, Spain",41.3917387,2.1479326
8097,Restaurante Metropolitan Iradier,,"Mediterranean, European, Spanish, Healthy",4.0,,"Escoles Pies, 105","Carrer de les Escoles Pies, 08021 Barcelona, Spain",41.395862,2.1354429
8098,MasQMenos Rambla 46,,"Mediterranean, European, Spanish",3.5,,"Rambla Catalunya, 46","Rambla de Catalunya, 08007 Barcelona, Spain",41.392756,2.1611337
8099,Hell Awaits Metal Bar,,€3 - €6,4.5,,Carrer de Les Tapies 21,"Carrer de les Tàpies, 08001 Barcelona, Spain",41.3771863,2.1716091
8100,BiancoNoir Bistrot,,€6 - €20,4.5,,"Calle Riera Alta, 8","Carrer d'en Riera, 08350 Arenys de Mar, Spain",41.5786671,2.549872
8101,Buenas Migas Plaza Espanya,,"Cafe, Fast Food, European, Italian",3.5,,"Placa Espanya, 6-8","The Clock, Plaça Espanya, 6-8, 08014 Barcelona, Spain",41.3754168,2.1482785
8102,Casa Joana,,"Spanish, Mediterranean",4.0,,"Carrer Major de Sarria, 59","Carrer Major de Sarrià, 59, 08017 Barcelona, Spain",41.3980543,2.122506
8103,Oxidat Cafe,,€3 - €25,4.5,,Rambla de Poblenou 117 Local 6,"Catalonia, Spain",41.66667,2.0
