,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
9174,El Camino Grilled Tapas,,,4.5,,"Carrer de Roger de Lluria, 24","El Camino, Carrer de Roger de Lluria, 24, 08923 Santa Coloma de Gramenet, Spain",41.4426731,2.2119976
9175,Carite Bar & Lounge,,"Gastropub, Spanish",5.0,,Calle Girona 95,"Carrer Girona, 08495 Fogars de la Selva, Spain",41.7358526,2.6551459
9176,"PETIT BANGKOK calle vallirana,29",,€15 - €25,4.5,,08006,"08006 Barcelona, Spain",41.4011438,2.1468428
9177,Lamun Cuina Thai,,€4 - €17,4.5,,Carrer De Viladomat 73,"Carrer de Viladomat, 08015 Barcelona, Spain",41.374997,2.1631957
9178,Ekubo',,€20 - €60,4.5,,"Comte d'Urgell, 108","Comte d'Urgell, Gran Via de les Corts Catalanes, 08015 Barcelona, Spain",41.3820143,2.1582348
9179,BARRAVAS,,,4.5,,"Carrer Mozart 16, 08012, Barcelona","carrer Mozart, 08110 Montcada i Reixac, Spain",41.4949416,2.1800639
9180,Bodega Colibri,,€5 - €25,4.5,,"Paseo Juan de Borbon, 6","Catalonia, Spain",41.66667,2.0
9181,InterTapa,,,4.5,,Avenida Gaudi N 11,"Avinguda Gaudí, 08620 Sant Vicenç dels Horts, Spain",41.3802623,1.9988352
9182,Tio Joe,,€15 - €35,4.5,,Via Augusta 9,"Hospital de Badalona, carrer de la Via Augusta, 9-13, 08911 Badalona, Spain",41.4507886,2.2456505
9183,El Pachuco,,,4.5,,Sant Pau 110,"Sant Pau, Manresa, Catalonia, Spain",41.7146103,1.8341856
9184,L'olivera,,,4.5,,Carrer Dels Escultors Claperos 39,"L'Olivera, Carrer dels Escultors Claperós, 39, 08018 Barcelona, Spain",41.4058547,2.1893093
9185,The Wild Rover Irish Pub Barcelona,,"Irish, Brew Pub, Bar, Pub, Gastropub",4.5,,"Carrer Santa Monica, 2","Carrer Santa Mònica, 2, 08859 Begues, Spain",41.3264546,1.9263182
9186,Gran Torino Garage Bar,,€5 - €20,4.5,,Plaza Duc de Medinaceli 6,"Catalonia, Spain",41.66667,2.0
9187,El Dorado Chicken,,,4.5,,"Carrer De Balmes, 122","Carrer de Balmes, 122, 080007 Barcelona, Spain",41.3931034,2.1580936
9188,Restaurante Contempo,,€25 - €35,4.5,,"Bergara St, 9","Carrer del Príncep de Bergara, 08901 l'Hospitalet de Llobregat, Spain",41.356868,2.0999559
9189,Cafe de la Pedrera,,,4.0,,"Passeig de Gracia, 92","El Cafè de la Pedrera, Passeig de Gràcia, 92, 08008 Barcelona, Spain",41.3952564,2.1615724
9190,Secrets Del Mediterrani,,€10 - €20,4.5,,Paseo San Joan 28,"Catalonia, Spain",41.66667,2.0
9191,BocaBoca Tapas&Cocktails,,€20 - €30,4.5,,"Carrer de Casanova, 226","Carrer de Casanova, 226, 08011 Barcelona, Spain",41.39243,2.1497766
9192,Vinitus,,,4.5,,"Carrer de Consell de Cent, 333","carrer de Consell de Cent, 08170 Montornès del Vallès, Spain",41.5393725,2.2716073
9193,Intrepid De Gracia,,,4.5,,Torrent De L'olla 176,"Torrent de l'Olla, Carrer del Torrent de l'Olla, 221, 08012 Barcelona, Spain",41.4066828,2.1518689
9194,Bar Joan,,,4.5,,Calle Giralt El Pellisser 2,"Bar Joan, Carrer d'en Giralt el Pellisser, 2, CP 08003 Barcelona, Spain",41.3863305,2.1787827
9195,Via Veneto,,,4.5,,Ganduxer 10-12,"Carrer de Ganduxer, 08022 Barcelona, Spain",41.4046843,2.1300311
9196,9 Reinas,,,4.5,,"C/ Valencia, 267","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
9197,The Fish & Chips Shop,,,4.5,,Calle Rocafort 70,"Carrer Rocafort, 08271 Artés, Spain",41.794838,1.9463363
9198,Can Borbo Restaurant,,"Seafood, Mediterranean, European, Spanish, Catalan",4.5,,PS. Joan de Borbo 50-51,"Catalonia, Spain",41.66667,2.0
9199,El Born,,"Bar, Pub, Spanish",4.5,,"Passeig del Born, 26","Passeig del Born, Barcelona, Spain",41.384793,2.1828281
9200,Merce Vins,,"Mediterranean, Spanish, Catalan",4.5,,C/Amargos 1,"Farmàcia C. Esquerrà Amargós, Carrer de Lluçà, 22, 08028 Barcelona, Spain",41.3815064,2.1314409
9201,Restaurante Loto,,€6 - €10,5.0,,Calle del Call 17,"Allium Restaurant, Carrer del Call, 17, 08002 Barcelona, Spain",41.3823755,2.1763476
9202,Malaysia,,,4.5,,"Carrer de Laforja, 8","Malaysia, Carrer de Laforja, 8, 08006 Barcelona, Spain",41.4000237,2.1507914
9203,Paradiso,,,4.5,,Calle Rera Palau 4,"Catalonia, Spain",41.66667,2.0
9204,Bar Restaurante la Llama,,"Mediterranean, Spanish, Catalan",4.5,,"C/ Besalu, 44","Carrer de Besalú, 44, 08026 Barcelona, Spain",41.4140321,2.1841156
9205,Blau Cucina e Caffe,,€2 - €20,4.5,,Carrer de Freixures 5,"Catalonia, Spain",41.66667,2.0
9206,Buon Appetito,,€15 - €25,4.5,,"Av. Marques de la argentera, 19","Catalonia, Spain",41.66667,2.0
9207,Il Forno,,€2 - €20,4.5,,Calle Lepant 338,"Carrer Lepant, 08291 Ripollet, Spain",41.4985934,2.1441239
9208,Almalibre Acai Bar,,€5 - €9,5.0,,Girona 118,"Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
9209,La Cereria,,€22 - €29,4.5,,"Baixada de Sant Miquel, 3","La Cereria, Baixada de Sant Miquel, 3, 08002 Barcelona, Spain",41.3815426,2.1767152
9210,El Viti Taberna,,,4.5,,"Passeig Sant Joan, 62","passeig del Riu, 08250 Sant Joan de Vilatorrada, Spain",41.7399116,1.8066353
9211,Cocina Hermanos Torres,,,4.5,,"Carrer del Taquigraf Serra, 20","Carrer del Taquígraf Serra, 20, 08029 Barcelona, Spain",41.3863062,2.1401414
9212,La Adelita Botanero,,"Mexican, Latin",4.5,,"Carrer de Muntaner, 100","Out of China, Carrer de Muntaner, 100, 08036 Barcelona, Spain",41.388572,2.156868
9213,Granja Elena,,"Mediterranean, European, Spanish, Catalan",4.5,,Passeig de la zona Franca 228,"Bar El Faro, Passeig de la Zona Franca, 228, 08038 Barcelona, Spain",41.3628529,2.1373795
