,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
9299,La Terraza Miro,,"Mediterranean, European, Spanish, Catalan, Fusion, Gastropub",4.5,,"Carrer De Tarragona, 129","La Terraza Miro, Carrer de Tarragona, 129, 08014 Barcelona, Spain",41.3773318,2.1460067
9300,Micu Maku,,"Spanish, Mediterranean, European, Catalan",4.5,,Carrer d'Aribau 22,"Micu Maku, Carrer d'Aribau, 22, 080007 Barcelona, Spain",41.3868575,2.1617362
9301,bicos,,,4.5,,Avenida Diagonal 287,"bicos, Avinguda Diagonal, 287 bajo, 08088 Barcelona, Spain",41.4001383,2.1748451
9302,Dual Cafe,,€9 - €13,5.0,,"Carrer Comte Borrell, 65","Carrer Comte Borrell, 08830 Sant Boi de Llobregat, Spain",41.3478785,2.040673
9303,Colom,,,4.5,,"Escudellers, 33","Colom, Carrer dels Escudellers, 33, 80002 Barcelona, Spain",41.379825,2.1764897
9304,The Sopa Boba,,,4.5,,"Carrer del Bruc,115","Ferreteria Bruc, Carrer del Bruc, 115, 08009 Barcelona, Spain",41.3962895,2.1666968
9305,La Caleta Burger,,€6 - €13,5.0,,"Rambla del Raval, 18","Rambla del Raval, Barcelona, Spain",41.3786363,2.1694027
9306,Jai-Ca,,,4.0,,"Calle Ginebra, 12","Carrer de Ginebra, 08 Barcelona, Spain",41.3817677,2.1890777
9307,La Terraza del Claris,,,4.5,,Pau Claris 150,"Pau Claris, Gran Via de les Corts Catalanes, 08007 Barcelona, Spain",41.3897269,2.1688642
9308,Sato I Tanaka,,€22 - €100,5.0,,"Bruc, 79","el Bruc, Catalonia, Spain",41.5792357,1.7812982
9309,Blu Bar,,€3 - €20,5.0,,"Rambla de Poblenou, 11","Rambla del Poblenou, 08018 Barcelona, Spain",41.403432,2.1980044
9310,Con Gracia,,,4.5,,Martinez de la Rosa 8,"Catalonia, Spain",41.66667,2.0
9311,Cellarer Wine Bar,,€10 - €40,5.0,,Mallorca 211,"Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
9312,La Despensa de Mitre,,,5.0,,"Ronda del General Mitre, 114","Ronda del General Mitre, 08023 Barcelona, Spain",41.4054109,2.1437481
9313,La Tartareria . Raw food .,,€20 - €55,5.0,,Muntaner 26,"el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
9314,Bella Italia,,"Italian, Pizza",4.5,,"Carrer de Roger de Lluria, 87","Carrer de Roger de Llúria, 87, 08037 Barcelona, Spain",41.3951006,2.1660692
9315,Super Naan,,€7 - €17,5.0,,"Calle Ferran, 21","Cal Pau, Olèrdola, Catalonia, Spain",41.352786,1.7393472
9316,Lab Restaurant,,"Mediterranean, European, Spanish",5.0,,Carrer de Rossend Arus 12,"Carrer de Rossend Arús, 12, 08014 Barcelona, Spain",41.3731718,2.1373405
9317,Bodega Biarritz 1881,,€6 - €37,4.5,,"Calle Vidre, 8","08318 Dosrius, Spain",41.6200212,2.4640857
9318,Wine Mood,,,5.0,,"Villaroel 26, Barcelona","Carrer de Villaroel, 08490 Tordera, Spain",41.7157918,2.6873912
9319,Encercle,,€3 - €30,4.5,,Calle Corcega 372,"Carrer de Còrcega, 08290 Cerdanyola del Vallès, Spain",41.4781286,2.1309929
9320,La Gastronomica,,,5.0,,Carrer Vilamari 9-15,"08610 Avià, Spain",42.0537944,1.8241134
9321,Paisano Cafe,,,5.0,,"Carrer Lepant, 277","Carrer Lepant, 08291 Ripollet, Spain",41.4985934,2.1441239
9322,Chaka Khan,,€6 - €40,5.0,,"Carrer Hospital, 104","Carrer Hospital, 08402 Granollers, Spain",41.6145579,2.2908011
9323,Bodega Biarritz,,€10 - €30,5.0,,Nou de San Francesc 7,"Catalonia, Spain",41.66667,2.0
9324,Teddy's Barcelona,,€3 - €6,5.0,,Carrer Escudellers 12,"Carrer dels Escudellers, 80002 Barcelona, Spain",41.3799218,2.1766799
9325,Pizzeria Da Nanni Barcelona,,,5.0,,Calle Llibreteria 10,"Carrer de la Llibreteria, 08002 Barcelona, Spain",41.383234,2.1774288
9326,La Patsa Lab,,€9 - €23,5.0,,Calle Casanova 94,"Casanova, Montmajor, Catalonia, Spain",41.9614742,1.7385128
9327,BelleBuon,,,5.0,,"Travessera de Gracia, 441","BcnStop Sagrada Familia, Travessera de Gràcia, 441, 08025 Barcelona, Spain",41.4113655,2.1734058
9328,Xian Restaurant,,"Chinese, Asian, Japanese",4.0,,Carrer de Avinyo 36,"Avinyó, Catalonia, Spain",41.86367,1.97095
9329,The Sushi Club,,"Japanese, Sushi, Asian",5.0,,"Passeig de Joan de Borbon, 74","Catalonia, Spain",41.66667,2.0
