left,top,right,bottom,id
240072.5654112786578480,5075524.1833427101373672,240272.5654112786578480,5075724.1833427101373672,"1"
240072.5654112786578480,5075324.1833427101373672,240272.5654112786578480,5075524.1833427101373672,"2"
240072.5654112786578480,5075124.1833427101373672,240272.5654112786578480,5075324.1833427101373672,"3"
240072.5654112786578480,5074924.1833427101373672,240272.5654112786578480,5075124.1833427101373672,"4"
240072.5654112786578480,5074724.1833427101373672,240272.5654112786578480,5074924.1833427101373672,"5"
240072.5654112786578480,5074524.1833427101373672,240272.5654112786578480,5074724.1833427101373672,"6"
240072.5654112786578480,5074324.1833427101373672,240272.5654112786578480,5074524.1833427101373672,"7"
240072.5654112786578480,5074124.1833427101373672,240272.5654112786578480,5074324.1833427101373672,"8"
240072.5654112786578480,5073924.1833427101373672,240272.5654112786578480,5074124.1833427101373672,"9"
240072.5654112786578480,5073724.1833427101373672,240272.5654112786578480,5073924.1833427101373672,"10"
240072.5654112786578480,5073524.1833427101373672,240272.5654112786578480,5073724.1833427101373672,"11"
240072.5654112786578480,5073324.1833427101373672,240272.5654112786578480,5073524.1833427101373672,"12"
240072.5654112786578480,5073124.1833427101373672,240272.5654112786578480,5073324.1833427101373672,"13"
240072.5654112786578480,5072924.1833427101373672,240272.5654112786578480,5073124.1833427101373672,"14"
240072.5654112786578480,5072724.1833427101373672,240272.5654112786578480,5072924.1833427101373672,"15"
240072.5654112786578480,5072524.1833427101373672,240272.5654112786578480,5072724.1833427101373672,"16"
240072.5654112786578480,5072324.1833427101373672,240272.5654112786578480,5072524.1833427101373672,"17"
240072.5654112786578480,5072124.1833427101373672,240272.5654112786578480,5072324.1833427101373672,"18"
240072.5654112786578480,5071924.1833427101373672,240272.5654112786578480,5072124.1833427101373672,"19"
240072.5654112786578480,5071724.1833427101373672,240272.5654112786578480,5071924.1833427101373672,"20"
240072.5654112786578480,5071524.1833427101373672,240272.5654112786578480,5071724.1833427101373672,"21"
240072.5654112786578480,5071324.1833427101373672,240272.5654112786578480,5071524.1833427101373672,"22"
240072.5654112786578480,5071124.1833427101373672,240272.5654112786578480,5071324.1833427101373672,"23"
240072.5654112786578480,5070924.1833427101373672,240272.5654112786578480,5071124.1833427101373672,"24"
240072.5654112786578480,5070724.1833427101373672,240272.5654112786578480,5070924.1833427101373672,"25"
240072.5654112786578480,5070524.1833427101373672,240272.5654112786578480,5070724.1833427101373672,"26"
240072.5654112786578480,5070324.1833427101373672,240272.5654112786578480,5070524.1833427101373672,"27"
240072.5654112786578480,5070124.1833427101373672,240272.5654112786578480,5070324.1833427101373672,"28"
240072.5654112786578480,5069924.1833427101373672,240272.5654112786578480,5070124.1833427101373672,"29"
240272.5654112786578480,5075524.1833427101373672,240472.5654112786578480,5075724.1833427101373672,"30"
240272.5654112786578480,5075324.1833427101373672,240472.5654112786578480,5075524.1833427101373672,"31"
240272.5654112786578480,5075124.1833427101373672,240472.5654112786578480,5075324.1833427101373672,"32"
240272.5654112786578480,5074924.1833427101373672,240472.5654112786578480,5075124.1833427101373672,"33"
240272.5654112786578480,5074724.1833427101373672,240472.5654112786578480,5074924.1833427101373672,"34"
240272.5654112786578480,5074524.1833427101373672,240472.5654112786578480,5074724.1833427101373672,"35"
240272.5654112786578480,5074324.1833427101373672,240472.5654112786578480,5074524.1833427101373672,"36"
240272.5654112786578480,5074124.1833427101373672,240472.5654112786578480,5074324.1833427101373672,"37"
240272.5654112786578480,5073924.1833427101373672,240472.5654112786578480,5074124.1833427101373672,"38"
240272.5654112786578480,5073724.1833427101373672,240472.5654112786578480,5073924.1833427101373672,"39"
240272.5654112786578480,5073524.1833427101373672,240472.5654112786578480,5073724.1833427101373672,"40"
240272.5654112786578480,5073324.1833427101373672,240472.5654112786578480,5073524.1833427101373672,"41"
240272.5654112786578480,5073124.1833427101373672,240472.5654112786578480,5073324.1833427101373672,"42"
240272.5654112786578480,5072924.1833427101373672,240472.5654112786578480,5073124.1833427101373672,"43"
240272.5654112786578480,5072724.1833427101373672,240472.5654112786578480,5072924.1833427101373672,"44"
240272.5654112786578480,5072524.1833427101373672,240472.5654112786578480,5072724.1833427101373672,"45"
240272.5654112786578480,5072324.1833427101373672,240472.5654112786578480,5072524.1833427101373672,"46"
240272.5654112786578480,5072124.1833427101373672,240472.5654112786578480,5072324.1833427101373672,"47"
240272.5654112786578480,5071924.1833427101373672,240472.5654112786578480,5072124.1833427101373672,"48"
240272.5654112786578480,5071724.1833427101373672,240472.5654112786578480,5071924.1833427101373672,"49"
240272.5654112786578480,5071524.1833427101373672,240472.5654112786578480,5071724.1833427101373672,"50"
240272.5654112786578480,5071324.1833427101373672,240472.5654112786578480,5071524.1833427101373672,"51"
240272.5654112786578480,5071124.1833427101373672,240472.5654112786578480,5071324.1833427101373672,"52"
240272.5654112786578480,5070924.1833427101373672,240472.5654112786578480,5071124.1833427101373672,"53"
240272.5654112786578480,5070724.1833427101373672,240472.5654112786578480,5070924.1833427101373672,"54"
240272.5654112786578480,5070524.1833427101373672,240472.5654112786578480,5070724.1833427101373672,"55"
240272.5654112786578480,5070324.1833427101373672,240472.5654112786578480,5070524.1833427101373672,"56"
240272.5654112786578480,5070124.1833427101373672,240472.5654112786578480,5070324.1833427101373672,"57"
240272.5654112786578480,5069924.1833427101373672,240472.5654112786578480,5070124.1833427101373672,"58"
240472.5654112786578480,5075524.1833427101373672,240672.5654112786578480,5075724.1833427101373672,"59"
240472.5654112786578480,5075324.1833427101373672,240672.5654112786578480,5075524.1833427101373672,"60"
240472.5654112786578480,5075124.1833427101373672,240672.5654112786578480,5075324.1833427101373672,"61"
240472.5654112786578480,5074924.1833427101373672,240672.5654112786578480,5075124.1833427101373672,"62"
240472.5654112786578480,5074724.1833427101373672,240672.5654112786578480,5074924.1833427101373672,"63"
240472.5654112786578480,5074524.1833427101373672,240672.5654112786578480,5074724.1833427101373672,"64"
240472.5654112786578480,5074324.1833427101373672,240672.5654112786578480,5074524.1833427101373672,"65"
240472.5654112786578480,5074124.1833427101373672,240672.5654112786578480,5074324.1833427101373672,"66"
240472.5654112786578480,5073924.1833427101373672,240672.5654112786578480,5074124.1833427101373672,"67"
240472.5654112786578480,5073724.1833427101373672,240672.5654112786578480,5073924.1833427101373672,"68"
240472.5654112786578480,5073524.1833427101373672,240672.5654112786578480,5073724.1833427101373672,"69"
240472.5654112786578480,5073324.1833427101373672,240672.5654112786578480,5073524.1833427101373672,"70"
240472.5654112786578480,5073124.1833427101373672,240672.5654112786578480,5073324.1833427101373672,"71"
240472.5654112786578480,5072924.1833427101373672,240672.5654112786578480,5073124.1833427101373672,"72"
240472.5654112786578480,5072724.1833427101373672,240672.5654112786578480,5072924.1833427101373672,"73"
240472.5654112786578480,5072524.1833427101373672,240672.5654112786578480,5072724.1833427101373672,"74"
240472.5654112786578480,5072324.1833427101373672,240672.5654112786578480,5072524.1833427101373672,"75"
240472.5654112786578480,5072124.1833427101373672,240672.5654112786578480,5072324.1833427101373672,"76"
240472.5654112786578480,5071924.1833427101373672,240672.5654112786578480,5072124.1833427101373672,"77"
240472.5654112786578480,5071724.1833427101373672,240672.5654112786578480,5071924.1833427101373672,"78"
240472.5654112786578480,5071524.1833427101373672,240672.5654112786578480,5071724.1833427101373672,"79"
240472.5654112786578480,5071324.1833427101373672,240672.5654112786578480,5071524.1833427101373672,"80"
240472.5654112786578480,5071124.1833427101373672,240672.5654112786578480,5071324.1833427101373672,"81"
240472.5654112786578480,5070924.1833427101373672,240672.5654112786578480,5071124.1833427101373672,"82"
240472.5654112786578480,5070724.1833427101373672,240672.5654112786578480,5070924.1833427101373672,"83"
240472.5654112786578480,5070524.1833427101373672,240672.5654112786578480,5070724.1833427101373672,"84"
240472.5654112786578480,5070324.1833427101373672,240672.5654112786578480,5070524.1833427101373672,"85"
240472.5654112786578480,5070124.1833427101373672,240672.5654112786578480,5070324.1833427101373672,"86"
240472.5654112786578480,5069924.1833427101373672,240672.5654112786578480,5070124.1833427101373672,"87"
240672.5654112786578480,5075524.1833427101373672,240872.5654112786578480,5075724.1833427101373672,"88"
240672.5654112786578480,5075324.1833427101373672,240872.5654112786578480,5075524.1833427101373672,"89"
240672.5654112786578480,5075124.1833427101373672,240872.5654112786578480,5075324.1833427101373672,"90"
240672.5654112786578480,5074924.1833427101373672,240872.5654112786578480,5075124.1833427101373672,"91"
240672.5654112786578480,5074724.1833427101373672,240872.5654112786578480,5074924.1833427101373672,"92"
240672.5654112786578480,5074524.1833427101373672,240872.5654112786578480,5074724.1833427101373672,"93"
240672.5654112786578480,5074324.1833427101373672,240872.5654112786578480,5074524.1833427101373672,"94"
